emotion,context,response
depressed,كيف يكون الألم الجسدي ؟,"قد يصاحب تلك المشاعر والأفكار أعراضٌ جسديةٌ حيويةٌ كمشاكل في النوم والشهية للطعام والرغبة الجنسية وطاقة الجسم وأوجاع بلا سبب عضوي. في بعض الأحيان قد يسوء الأمر لدرجة أن يفكر المكتئب بإنهاء حياته ليتخلص من كل ذلك الألم. تستمر تلك الأعراض لأكثر من أسبوعين، ولا تخف مع الوقت أو من تلقاء نفسها."
depressed,أجد صعوبة في التعبير عن الألم الذي يسببه الاكتئاب لي,"أنا أعلم أنه ليس من السهل التعرض للتحدث عن الألم الذي يحدثه الاكتئاب في نفوسنا واجسادنا، ولكن من حسن الحظ أنه اضطراب قابل للعلاج، تذكر سأكون هنا دوما بجانبك."
depressed,هل تستطيع تقييم شدة الاكتئاب لدي ؟,"دعني أعرض بعض الأعراض التي يحدثها الاكتئاب، وقم بتقييم شدة كل عرض ينطبق عليك على مقياس م0-10 بحيث يكون 0 هو عدم وجود هذا العرض و 10 هو أِشد درجة اختبرتها لهذا العرض"
depressed,لدي أفكار متكررة عن الموت وإيذاء النفس و الانتحار و/أو التخطيط لذلك,إذا كانت الأعراض شديدة أو كان لديك أفكار انتحارية ـأو أعراض ذهانية فمن الضروري اسشتارة أخصائي نفسي بأسرع وقت
depressed,تشتد الأعراض في ساعات الصباح الأولى خاصةً عند الاستيقاظ مبكرا جدا,اسأل نفسك مرة  كل أسبوع لترى إن كانت أعراض الاكتئاب تتحسن أو تسوء أو تبقى كما هي
depressed,لا أشعر أني بحاجة للتواصل مع اخصائي,"أنا أعلم أنه ليس من السهل الخوض في ذلك، أنا اقدر لك مشاركتي هذه الأمور"
depressed,كيف أحافظ على صحتي الجسدية؟,"تشير الكثير من الدراسات إلى التأثير العميق لما نأكله على أجسادنا وكذلك عقولنا، لذا عليك أن تحرص على جودة طعامك وكميته"
depressed,لتهدئة النفس,"عادة ما يترافق القلق مع الإكتئاب، لذا فإن إتقانك لتمارين الاسترخاء سيقلل من شدة القلق لديك وسيساعدك في اكتساب شعور السيطرة على حياتك، بإمكاني مساعدتك بذلك، هل تريد تجربة ذلك الان؟"
depressed,تمرين للاسترخاء,"هناك بعض الأنشطة السهلة والبسيطة والتي تساعدك على التهدئة، لنطلع عليها سويا ● أمضِ وقتا في حوض الاستحمام ● تمشَّ قليلا ● اعزف قليلا من الموسيقى أو استمع لها أو غنِّ أغنيتك المفضلة ● اكتب في دفتر مذكراتك ● تحدث مع صديق"
depressed,ماذا أفعل لحل مشكلة النوم,إليك بعض النصائح التي قد تساعدك في حل مشاكل النوم الشائعة لدى مرضى الاكتئاب:  حاول الحفاظ على ساعات منتظمة للذهاب للنوم وللاستيقاظ /  تجنب النوم خلال فترة النهار قدر المستطاع / بإمكانك القيام بتمارين الاسترخاء وتناول مشروب ساخن قبل التوجه للنوم /  إذا لم تنم خلال قرابة العشرين دقيقة فانهض من فراشك وقم بنشاط بسيط كالقراءة ثم كرر المحاولة
depressed,أشعر بالتعب والضعف,"من الأعراض الشائعة للإكتئاب الشعور بالتعب والضعف، وكلما قل انخراطك بالنشاطات المختلفة فإنك ستكون أكثر تعبا وضعفا"
depressed,لا أملك القدرة على ممارسة النشاطات ,"النشاط المتدرج سيجعلك تشعر بتعب أقل وسيحسن قدرتك على التفكير، بإمكانك البدء بنشاط بسيط من اختيارك في الوقت الذي يناسبك وتحديد وقت قصير للقيام به على أن تزيد هذه المدة تدريجيا، لا تحاول الرجوع فورا إلى يوم كامل من النشاط بل يجب أن تكون الزيادة في النشاط الجسدي تدريجية ومتناسبة مع احتياجاتك"
depressed,يبدو هذا صعبا,يإمكانك أن تختار الان نشاط بسيطا للبدء به
depressed,حسناً لنبدأ بالنشاط,كن واعيا لما يحدث من تغيرات بعد أن تقوم بالنشاط على المستويين المزاجي والجسدي وستلاحظ تحسنا فيهما دون شك
depressed,لا أجد المتعة في هذه النشاطات,"من الممكن أن لا تجد المتعة المتوقعة عند قيامك بتلك الأنشطة من البداية لكنها بالتأكيد ستكون أفضل من تمضية الوقت في السرير بلا هدف أو إنجاز، ستساعدك تلك الأنشطة على عدم الاستسلام لاجترار الأفكار السلبية التي تدور في رأسك"
depressed,أعرض لي بعض الأنشطة المسلية,سأعرض لك قائمة بأنشطة مسلية وممتعة يمكنك الاختيار من بينها ما يناسبك كما يمكنك إعداد قائمتك الخاصة:  شاهد برنامجا تلفزيونيا أو فيلما وثائقيا / شاهد عرضا فكاهيا / استمع إلى برنامج إذاعي لطيف / بإمكانك الاستمتاع ببعض ألعاب الكمبيوتر أو غيرها من الألعاب / تصفح مواقع التواصل الاجتماعي كالفيسبوك وتويتر / قراءة صفحات من كتاب أو مجلة أو صحيفة / القيام ببعض الحرف اليدوية / إعداد وجبة لطيفة / قم ببعض الرسم أو مارس هواية أخرى
depressed,ما أهمية الأنشطة ؟,"إن زيادة الأنشطة وخاصة المسلية منها أو التي تحقق شعورا بالإنجاز تساعد كثيرا في تخفيف أعراض الإكتئاب، تستطيع التخفيف من اكتئابك من خلال القيام بتغييرات سلوكية وذلك بأن تخطط لنشاطات مسلية وممتعة"
depressed,انشطة رياضية لمقاومة الاكتئاب,"هناك بعض الأعمال البدنية كممارسة التمارين الرياضية مثلا، تزيد من كمية الموصلات العصبية التي تساعد على تحسين المزاج؛ نقترح عليك ما يلي: اقض بعض الوقت في المشي أو الجري / استخدم دراجة التمارين أو آلة المشي / القيام ببعض الأعمال المنزلية / قم بالقليل من أعمال البستنة / اغسل سيارتك / ارقص قليلا / تابع مع صفوف لياقة بدنية على الانترنت"
depressed, التعامل مع تجنب الأنشطة والفعاليات,"تؤدي أعراض الاكتئاب المختلفة إلى تجنب الكثير من الأنشطة والفعاليات والتي يكون البعض منها ضروري لاستمرار أدنى مقومات الحياة لدى الإنسان المكتئب، لكن لا عليك، أنا هنا لمساعدتك في تخطي الصعاب. فقط صافحني لنبدأ"
depressed,حسناً لنبدأ بالنشاط,"لمحاولة التغلب على هذه الإشكالية يمكنك اختيار نشاط أنت تتجنبه، ثم اسأل نفسك عن مضار تجنبك لذلك النشاط مقابل فوائد إنجازك له"
depressed,أعطني مثالاً,"فمثلا إن كان مطلوبا منك التوجه للبنك لتسديد فواتيرك، فقد تخطر لك أفكار تدفعك لتجنب ذلك مثل "" لا أشعر بمزاج جيد لأذهب"" أو ""لا أود مقابلة الناس""، في حين إن فكرت أنه قد يتم فصل الخدمة عنك أو دفع غرامة إن لم تسدد الفاتورة في موعدها، فعلى الأغلب أنك ستحصل على بعض الرغبة لإنجاز ما عليك إنجازه في الوقت المحدد."
depressed,لا أجد ذلك مجدياً,"عندما تشعر بالعجز عن إتمام بعض المهام التي تبدو ثقيلة عليك، يمكنك تقسيمها إلى مهام صغيرة سهلة، ابدأ بالخطوة الأسهل ثم انتقل بعدها تدريجيا إلى الأصعب، إن القيام ببعض المهام البسيطة مهم لتحقيق بعض الشعور بالإنجاز وتجنب الفشل والتثبيط."
depressed,كيف ذلك؟ أعطني مثالاً,"النهوض من السرير صباحا والتوجه لغسل وجهك قد تكون الخطوة الأولى في خطة الذهاب للتنزه في الحديقة القريبة من المنزل، بإمكاننا تطبيق ذلك من خلال مثال بسيط هل تريد تجربة ذلك ؟"
depressed,هيا بنا لنجرب,"حسنا، فكر بمهمة تبدو ثقيلة عليك، أقصد الهدف الذي تريده تبعا للرسم السابق؟"
